001574-41-0	000078-79-5	018631-83-9	000066-25-1	006728-26-3	000591-93-5	000592-46-1	000142-08-5	000100-52-7	086921-32-6	018968-23-5	000098-86-2	000100-51-6	000095-16-9	000108-95-2	000128-37-0	000110-62-3	000124-13-0	000110-93-0	000928-96-1	000000-00-0	001222-05-5	000504-60-9	000124-19-6	030086-02-3	001472-09-9	000544-76-3	000629-73-2	000091-20-3	038640-62-9	024157-81-1	003208-16-0	000098-01-1	000502-99-8	038284-27-4	000098-00-0	000119-36-8	000554-61-0	000079-77-6	000060-12-8	000592-48-3	003387-41-5	000096-09-3	000475-03-6	000586-62-9	000142-83-6	004313-03-5	017455-13-9	000534-22-5	004170-30-3	000112-31-2	074663-85-7	006108-61-8	018829-55-5	002454-31-1	000930-60-9	000090-02-8	036653-82-4	000096-54-8	000109-08-0	074663-86-8	000122-78-1	003796-70-1	014901-07-6	000872-05-9	000123-72-8	069668-89-9	000119-61-9	001120-56-5	000673-84-7	000138-86-3	003779-61-1	001576-95-0	024851-98-7	000078-70-6	002561-21-9	000432-25-7	000127-41-3	000110-54-3	020273-24-9	000293-96-9	000123-35-3	002548-87-0	000590-86-3	001120-36-1	035507-09-6	005989-54-8	075135-41-0	074663-88-0	000541-05-9	000580-51-8	000931-88-4	055669-96-0	000064-19-7	000108-38-3	000106-42-3	000591-49-1	000109-97-7	035373-06-9	000591-48-0	002080-89-9	031295-56-4	000629-78-7	000111-71-7	000108-88-3	029714-87-2	001120-73-6	001119-14-8	000124-11-8	006765-39-5	002437-56-1	000108-93-0	000100-41-4	002408-37-9	000079-01-6	037617-26-8	000112-95-8	001921-70-6	000629-62-9	000295-17-0	013360-61-7	000593-45-3	007098-21-7	000821-95-4	001330-20-7	000544-12-7	006874-10-8	005989-33-3	033100-27-5	001686-30-2	000099-86-5	000099-85-4	000535-77-3	027576-03-0	000141-12-8	000105-87-3	000471-84-1	000080-56-8	Class
4.7129	0	0	9.3011	8.7008	0	0	0	4.2528	0	0	0	0	0.4074	0	0.2569	2.959	0.6821	1.191	1.744	0	0	0	0	0.9933	0	0	0	0	0	0	1.5281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2038	0	0	0	0	0	0	0	0	0.3329	0.2136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
3.1952	0	0	11.3511	13.3366	0	0	0	3.1555	0	0	0	0	0.3745	0	0.5278	2.4427	0.5549	1.1306	1.7444	0	0	0	0	0.6383	0	0.1941	0	0	0	0	1.6772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3021	0.2752	1.2526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5674	0.9663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
4.0962	0	0	7.6568	7.7039	0	0	0	5.0635	0	0	0	0	1.4565	0.7314	0	0	0.8883	1.5539	1.5817	0	0	0	3.8069	0	0	0.3008	0.2367	0	0	0	1.0929	0	0	0	0	0.5472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3919	0.2101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
1.8284	1.487	0.5794	4.5627	0.5748	4.4503	1.4571	1.1673	8.0222	1.1001	0.6209	3.064	1.9106	1.6343	3.2162	4.2578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
2.5976	0	0	4.2962	1.0915	0	0.8851	0	7.5864	0	0	0	0.7967	0.7151	1.9764	0.3009	0	0	0	0	0	0.8579	0	0	0	0	0	0	0	0	0	0.5556	10.6554	0.8665	1.8037	7.8576	0.3897	1.6399	0.6	0.7577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
2.5824	3.8926	0	4.6173	0.6587	0.5781	6.1769	0	8.5141	0	0	1.7424	0	0.7118	1.0655	2.1482	0	0	0	0	0	0	0.3948	0	0	0	0	0	0	0	0	0	2.0969	0	0	0	0	0	0	0	1.5568	0.963	1.1965	4.8758	1.4827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
1.5071	2.5497	0	7.2666	1.0389	0	0.9239	0	12.0755	0	0.5488	1.7947	1.1547	0.8866	3.2812	3.3772	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1689	0	0	1.2751	0	0	0	0	0	0	0	0	0	0	3.4122	1.417	1.6262	0	0	0	0	0	0	4.1056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
1.3357	0	0	10.3047	7.8136	0	0	0	6.9747	0	0	0	0.8416	0.7798	0	0	0	0	1.9028	2.2057	0.3234	0	0	0	0.9851	0	0	0	0	0	0	1.4141	0	0	0	0	0.606	0	0.2847	0	0	0	0	0	0	0	5.7767	0	0	0	0	0	0	0	0	0.6548	0.4679	0.3653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0.8232	0	0	5.73	6.4673	0	0	0	3.9186	0	0	0	0.5542	0.8029	1.5078	0	0	0	0.8633	0.9592	0	0	0	0	0	0	0	0	0	0	0	0.846	10.3577	0	0	4.408	0.3397	0	0	0.327	0	0	0	0	0	0	0	1.0256	1.0283	0	0	0	0	0	0	2.3776	0.8711	0	1.2003	0.8425	0.9473	0.8187	2.0239	0.1865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0	0	0	9.0215	5.0104	0	0	0	4.399	0	0	0	0	0	1.2935	0	0	0	2.7662	1.5931	0	0	0	0	0	0	0	0	0	0	0	0.7379	9.8818	0	0	5.7627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9598	0	0	1.0145	0	0	0	0	0	0.3637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
